text,options,answer,hint,category,tags,difficulty,points,requiredCoins,createdAt,updatedAt
"เมืองหลวงของประเทศแคนาดาคือเมืองใด?","โตรอนโต|มอนทรีออล|ออตตาวา|แวนคูเวอร์","ออตตาวา","Ottawa","ภูมิศาสตร์","level-3|world",3,10,10,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"ใครคือจิตรกรผู้วาดภาพจิตรกรรมฝาผนัง 'The Creation of Adam'?","เลโอนาร์โด ดา วินชี|ไมเคิลแองเจโล|ราฟาเอล|โมเนต์","ไมเคิลแองเจโล","Michelangelo","ศิลปะ","level-4|world",4,15,15,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"หน่วยวัดความสว่างของแสง (Luminous Flux) ที่ระบุบนกล่องหลอดไฟคือ?","ลักซ์|ลูเมน|แคนเดลา|วัตต์","ลูเมน","Lumen","ความรู้ทั่วไป","level-3|science",3,10,10,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"จังหวัดใดในประเทศไทยมีแหล่งประวัติศาสตร์ 'ปราสาทหินพิมาย' ที่ใหญ่ที่สุด?","บุรีรัมย์|สุรินทร์|นครราชสีมา|ศรีสะเกษ","นครราชสีมา","Phimai Historical Park","ภูมิศาสตร์","level-2|thai",2,5,5,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"ธาตุชนิดใดมีสัญลักษณ์ทางเคมีว่า 'Ti' และมีน้ำหนักเบาแต่แข็งแรงมาก?","ดีบุก|ไทเทเนียม|ทองแดง|เหล็ก","ไทเทเนียม","Titanium","วิทยาศาสตร์","level-3|chemistry",3,10,10,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"ใครคือบิดาแห่ง 'วิทยาศาสตร์ทางทะเล' ของประเทศไทย?","รัชกาลที่ 4|รัชกาลที่ 9|กรมหลวงชุมพรเขตอุดมศักดิ์|พระเจ้าวรวงศ์เธอ พระองค์เจ้าวรรณไวทยากร","กรมหลวงชุมพรเขตอุดมศักดิ์","เสด็จเตี่ย","ความรู้ทั่วไป","level-4|thai",4,15,15,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"สัตว์ชนิดใดมีดวงตาที่ใหญ่ที่สุดในบรรดาสัตว์เลี้ยงลูกด้วยนมต่อน้ำหนักตัว?","วาฬ|ลิงทาร์เซียร์|แมว|นกฮูก","ลิงทาร์เซียร์","Tarsier","สัตว์โลก","level-5|animal",5,20,20,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"ใครคือผู้ประดิษฐ์ 'โทรเลข' คนแรกของโลกอย่างเป็นทางการ?","เอดิสัน|ซามูเอล มอร์ส|เกรแฮม เบลล์|นิโคลา เทสลา","ซามูเอล มอร์ส","Samuel Morse","ประวัติศาสตร์","level-3|world",3,10,10,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"หน่วยความจุของข้อมูลที่เท่ากับ 1,024 'กิกะไบต์' (GB) คืออะไร?","เมกะไบต์|เทราไบต์|กิโลไบต์|เพตาไบต์","เทราไบต์","Terabyte (TB)","เทคโนโลยี","level-2|tech",2,5,5,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"ธาตุชนิดใดมีสถานะเป็นของเหลวที่อุณหภูมิห้องนอกจากปรอท (เป็นโลหะที่ละลายในมือได้)?","แกลเลียม|ซีเซียม|ฟรันเซียม|รูบิเดียม","แกลเลียม","Gallium","วิทยาศาสตร์","level-5|chemistry",5,20,20,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"ใครคือพระมหากษัตริย์ที่ทรงริเริ่มการใช้ 'พุทธศักราช' (พ.ศ.) เป็นทางการในไทย?","รัชกาลที่ 4|รัชกาลที่ 5|รัชกาลที่ 6|รัชกาลที่ 7","รัชกาลที่ 6","ทรงให้เปลี่ยนจาก ร.ศ. เป็น พ.ศ.","ประวัติศาสตร์","level-4|thai",4,15,15,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"ก๊าซชนิดใดใช้เติมในหลอดไฟเพื่อให้แสงสี 'ส้มแดง' (ชื่อเดียวกับก๊าซ)?","อาร์กอน|นีออน|คริปตอน|ซีนอน","นีออน","Neon Gas","วิทยาศาสตร์","level-2|chemistry",2,5,5,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"ใครวาดภาพจิตรกรรมสไตล์เหนือจริง 'The Persistence of Memory' (นาฬิกาละลาย)?","ปิกัสโซ|ซัลวาดอร์ ดาลี|แวน โก๊ะ|โมเนต์","ซัลวาดอร์ ดาลี","Salvador Dalí","ศิลปะ","level-5|world",5,20,20,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"จังหวัดใดในประเทศไทยมีภูมิศาสตร์เป็น 'คาบสมุทร' และแคบที่สุดในไทย?","ระนอง|ประจวบคีรีขันธ์|ชุมพร|พังงา","ประจวบคีรีขันธ์","ช่วงตำบลคลองวาฬ","ภูมิศาสตร์","level-4|thai",4,15,15,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"ธาตุชนิดใดมีสัญลักษณ์ 'Hg'?","แมกนีเซียม|ไฮโดรเจน|ปรอท|ฮีเลียม","ปรอท","Hydrargyrum","วิทยาศาสตร์","level-3|chemistry",3,10,10,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"ใครคือสตรีคนแรกของเอเชียที่ได้ครองตำแหน่ง 'นางงามจักรวาล'?","อภัสรา หงสกุล|อากิโกะ โคจิมะ|ปุ๋ย ภรณ์ทิพย์|ชลิตา ส่วนเสน่ห์","อากิโกะ โคจิมะ","Miss Universe 1959 จากญี่ปุ่น","ความรู้ทั่วไป","level-5|world",5,20,20,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"ก๊าซที่มีผลทำให้เกิด 'ปรากฏการณ์เรือนกระจก' มากที่สุดจากกิจกรรมมนุษย์คือ?","ไนโตรเจน|ออกซิเจน|คาร์บอนไดออกไซด์|อาร์กอน","คาร์บอนไดออกไซด์","CO2","วิทยาศาสตร์","level-2|nature",2,5,5,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"ใครคือบิดาแห่ง 'อนามัยแม่และเด็ก' ของไทย?","รัชกาลที่ 5|สมเด็จพระมหิตลาธิเบศร อดุลยเดชวิกรม|ป๋วย อึ๊งภากรณ์|หลวงประดิษฐไพเราะ","สมเด็จพระมหิตลาธิเบศร อดุลยเดชวิกรม","พระบรมราชชนก","ความรู้ทั่วไป","level-4|thai",4,15,15,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"ธาตุจุดหลอมเหลวสูงสุดในตารางธาตุคือ?","เหล็ก|ทองคำ|ทังสเตน|คาร์บอน","คาร์บอน","Graphite Sublimation","วิทยาศาสตร์","level-5|chemistry",5,20,20,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"ประเทศที่มีเขตเวลา (Time Zones) มากที่สุดในโลกคือ?","รัสเซีย|จีน|สหรัฐอเมริกา|ฝรั่งเศส","ฝรั่งเศส","12 เขตเวลารวมดินแดนโพ้นทะเล","ภูมิศาสตร์","level-5|world",5,20,20,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"สนธิสัญญา 'เวสต์ฟาเลีย' (1648) สำคัญอย่างไร?","จบสงครามโลก|กำเนิดรัฐชาติสมัยใหม่|แบ่งแอฟริกา|ตั้ง UN","กำเนิดรัฐชาติสมัยใหม่","Modern Nation-State","ประวัติศาสตร์","level-5|world",5,20,20,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"ใครค้นพบ 'ทฤษฎีควอนตัม' คนแรกๆ ของโลก?","ไอน์สไตน์|แมกซ์ พลังค์|นิวตัน|โบร์","แมกซ์ พลังค์","Max Planck","วิทยาศาสตร์","level-5|physics",5,20,20,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"จังหวัดที่ชื่อสั้นที่สุดในไทยคือ?","แพร่|น่าน|ตาก|เลย","เลย","Loei","ภูมิศาสตร์","level-1|thai",1,1,1,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"ใครเป็นบิดาแห่งกฎหมายไทย?","รัชกาลที่ 5|กรมหลวงราชบุรีดิเรกฤทธิ์|รัชกาลที่ 6|สุนทรภู่","กรมหลวงราชบุรีดิเรกฤทธิ์","พระองค์เจ้ารพีพัฒนศักดิ์","ประวัติศาสตร์","level-3|thai",3,10,10,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"ธาตุสัญลักษณ์ 'Ag' หมายถึง?","ทอง|เงิน|เหล็ก|สังกะสี","เงิน","Argentum","วิทยาศาสตร์","level-3|chemistry",3,10,10,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"เมืองหลวงของออสเตรเลียคือ?","ซิดนีย์|เมลเบิร์น|แคนเบอร์รา|บริสเบน","แคนเบอร์รา","Canberra","ภูมิศาสตร์","level-3|world",3,10,10,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"รหัสพันธุกรรมของสิ่งมีชีวิตเรียกว่า?","RNA|ATP|DNA|NAD","DNA","Deoxyribonucleic Acid","วิทยาศาสตร์","level-2|biology",2,5,5,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"ใครกู้อิสรภาพครั้งที่ 2?","นเรศวรมหาราช|พระเจ้าตากสินมหาราช|รัชกาลที่ 1|รัชกาลที่ 5","พระเจ้าตากสินมหาราช","ตีค่ายโพธิ์สามต้นแตก","ประวัติศาสตร์","level-2|thai",2,5,5,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"ยอดเขาสูงที่สุดในโลก?","เคทู|เอเวอเรสต์|เอลบรุส|คิลิมันจาโร","เอเวอเรสต์","Mount Everest","ภูมิศาสตร์","level-1|world",1,1,1,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"วิตามินเอช่วยบำรุงอะไร?","กระดูก|ฟัน|สายตา|เลือด","สายตา","พบในแครอท","สุขภาพ","level-1|health",1,1,1,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"คลองปานามาเชื่อมมหาสมุทรใด?","แอตแลนติก-แปซิฟิก|อินเดีย-แปซิฟิก|แดง-ดำ|คีล","แอตแลนติก-แปซิฟิก","Panama Canal","ภูมิศาสตร์","level-3|world",3,10,10,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"ธาตุสัญลักษณ์ 'Au' หมายถึง?","เงิน|ทองคำ|เหล็ก|ปรอท","ทองคำ","Aurum","วิทยาศาสตร์","level-2|chemistry",2,5,5,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"สงครามร้อยปีสู้กี่ปี?","100 ปี|110 ปี|116 ปี|120 ปี","116 ปี","อังกฤษ-ฝรั่งเศส","ประวัติศาสตร์","level-5|world",5,20,20,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"หน่วยงานที่ทำหน้าที่พยากรณ์อากาศในไทยคือ?","กรมชลประทาน|กรมส่งเสริมการเกษตร|กรมอุตุนิยมวิทยา|กรมทรัพยากรธรณี","กรมอุตุนิยมวิทยา","Meteorological Department","ความรู้ทั่วไป","level-1|thai",1,1,1,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"วิตามินชนิดใดป้องกันอาการโรคเลือดออกตามไรฟัน?","วิตามินเอ|วิตามินบี|วิตามินซี|วิตามินดี","วิตามินซี","พบในส้ม","ความรู้ทั่วไป","level-1|health",1,1,1,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"ทิศใต้ตรงข้ามกับทิศ?","เหนือ|ตะวันออก|ตะวันตก|เฉียงใต้","ทิศเหนือ","North","ความรู้ทั่วไป","level-1|nature",1,1,1,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"พยัญชนะไทยตัวสุดท้ายคืออะไร?","ฮ|ฬ|อ|ห","ฮ.นกฮูก","ตัวที่ 44","ภาษาไทย","level-1|thai",1,1,1,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"รุ้งกินน้ำมีกี่สี?","5|6|7|8","7","7 สี","ความรู้ทั่วไป","level-1|nature",1,1,1,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
