text,options,answer,hint,category,tags,difficulty,points,requiredCoins,createdAt,updatedAt
"ตามกฎหมายจราจรไทย เมื่อเห็นสัญญาณไฟ 'เหลืองอำพัน' ผู้ขับขี่ควรทำอย่างไร?","เร่งความเร็วเพื่อให้พ้นทางแยก|หยุดรถหลังเส้นหยุดหากทำได้อย่างปลอดภัย|เลี้ยวซ้ายได้ทันที|บีบแตรเตือนรถคันอื่น","หยุดรถหลังเส้นหยุดหากทำได้อย่างปลอดภัย","เตรียมหยุดรถไม่ใช่เร่งความเร็ว","ความรู้ทั่วไป","level-2|law",2,5,5,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"หน่วยงานใดควบคุมดูแลมาตรฐาน 'อาหารและยา' ในประเทศไทย?","กสทช.|มอก.|อย.|สคบ.","อย.","FDA Thailand","ความรู้ทั่วไป","level-1|thai",1,1,1,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"ธาตุชนิดใดมีสถานะเป็น 'ของเหลว' ที่อุณหภูมิห้องนอกจากปรอท?","เงิน|ตะกั่ว|โบรมีน|ฟลูออรีน","โบรมีน","Bromine เป็นอโลหะ","วิทยาศาสตร์","level-5|chemistry",5,20,20,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"ใครคือคนไทยคนแรกที่ได้รับรางวัล 'แมกไซไซ'?","ป๋วย อึ๊งภากรณ์|นิลวรรณ ปิ่นทอง|ประเวศ วะสี|วิวัฒน์ชัย ไชยพานิช","นิลวรรณ ปิ่นทอง","ได้รับสาขาบริการสาธารณะ ปี 2504","ความรู้ทั่วไป","level-5|thai",5,20,20,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"เกาะที่ใหญ่ที่สุดในทวีปเอเชียคือเกาะใด?","เกาะฮอนชู|เกาะสุมาตรา|เกาะบอร์เนียว|เกาะลูซอน","เกาะบอร์เนียว","Borneo","ภูมิศาสตร์","level-4|world",4,15,15,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"ปรากฏการณ์ 'ฝุ่น PM 2.5' คำว่า PM ย่อมาจากอะไร?","Power Matter|Point Matter|Particulate Matter|Private Matter","Particulate Matter","อนุภาคแขวนลอย","ความรู้ทั่วไป","level-3|science",3,10,10,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"ใครคือบิดาแห่ง 'วิทยาศาสตร์ทางทะเล' ของไทย?","รัชกาลที่ 4|กรมหลวงชุมพรเขตอุดมศักดิ์|รัชกาลที่ 9|ดร.ประเวศ วะสี","กรมหลวงชุมพรเขตอุดมศักดิ์","เสด็จเตี่ย","ประวัติศาสตร์","level-4|thai",4,15,15,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"หน่วยความจุข้อมูลที่มากกว่า 'กิกะไบต์' (GB) 1,024 เท่าคือ?","เมกะไบต์|เทราไบต์|กิโลไบต์|บิต","เทราไบต์","Terabyte (TB)","เทคโนโลยี","level-2|tech",2,5,5,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"ใครคือผู้ประดิษฐ์ 'โทรเลข' คนแรกที่ประสบความสำเร็จในเชิงพาณิชย์?","เอดิสัน|ซามูเอล มอร์ส|เบลล์|เทสลา","ซามูเอล มอร์ส","Samuel Morse","ประวัติศาสตร์","level-3|world",3,10,10,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"สัญลักษณ์ทางเคมีของ 'พลวง' คืออะไร?","An|Sb|At|Am","Sb","Stibium","วิทยาศาสตร์","level-5|chemistry",5,20,20,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"จังหวัดใดเป็นถิ่นกำเนิดของ 'หอยหวาน' และ 'เหล้าแม่โขง' (ในแง่โรงงานอดีต)?","ปทุมธานี|ระยอง|สมุทรปราการ|นนทบุรี","ปทุมธานี","โรงงานสุราบางยี่ขันเดิม","ความรู้ทั่วไป","level-4|thai",4,15,15,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"ก๊าซที่มีมากที่สุดในจักรวาลคือ?","ออกซิเจน|ไนโตรเจน|ไฮโดรเจน|ฮีเลียม","ไฮโดรเจน","Hydrogen","วิทยาศาสตร์","level-5|astronomy",5,20,20,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"ใครคือพระบิดาแห่ง 'กฎหมายไทย'?","รัชกาลที่ 5|กรมหลวงราชบุรีดิเรกฤทธิ์|รัชกาลที่ 6|สุนทรภู่","กรมหลวงราชบุรีดิเรกฤทธิ์","พระองค์เจ้ารพีพัฒนศักดิ์","ประวัติศาสตร์","level-3|thai",3,10,10,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"ปราสาทหินที่ใหญ่ที่สุดในประเทศไทย?","ปราสาทพนมรุ้ง|ปราสาทหินพิมาย|ปราสาทเมืองต่ำ|ปราสาทศรีขรภูมิ","ปราสาทหินพิมาย","Nakhon Ratchasima","ประวัติศาสตร์","level-3|thai",3,10,10,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"ใครค้นพบ 'ทฤษฎีควอนตัม' คนแรกๆ ของโลก?","ไอน์สไตน์|แมกซ์ พลังค์|นิวตัน|โบร์","แมกซ์ พลังค์","Max Planck","วิทยาศาสตร์","level-5|physics",5,20,20,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"จังหวัดที่ชื่อสั้นที่สุดในไทยคือ?","แพร่|น่าน|เลย|ตาก","เลย","Loei","ภูมิศาสตร์","level-1|thai",1,1,1,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"วิตามินชนิดใดป้องกันโรคเหน็บชา?","วิตามินเอ|วิตามินบี 1|วิตามินซี|วิตามินดี","วิตามินบี 1","Thiamine","สุขภาพ","level-2|health",2,5,5,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"หน่วยวัดความกดอากาศคืออะไร?","พาสคัล|เดซิเบล|ริกเตอร์|วัตต์","พาสคัล","Pascal","วิทยาศาสตร์","level-4|science",4,15,15,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"ใครวาดภาพ 'Night Watch'?","ดา วินชี|แวน โก๊ะ|แรมบรันต์|ปิกัสโซ","แรมบรันต์","Rembrandt","ศิลปะ","level-5|world",5,20,20,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"ทวีปที่มีจำนวนประเทศมากที่สุด?","เอเชีย|แอฟริกา|ยุโรป|อเมริกา","แอฟริกา","54 ประเทศ","ภูมิศาสตร์","level-4|world",4,15,15,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"ธาตุสัญลักษณ์ 'Ag' หมายถึงอะไร?","ทอง|เงิน|เหล็ก|สังกะสี","เงิน","Argentum","วิทยาศาสตร์","level-3|chemistry",3,10,10,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"พยัญชนะไทยตัวแรกคือ?","ก|ข|ค|ฮ","ก","ก.ไก่","ภาษาไทย","level-1|thai",1,1,1,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"แม่น้ำสายยาวที่สุดในไทยคือ?","เจ้าพระยา|ปิง|ชี|มูล","ชี","River Chi","ภูมิศาสตร์","level-3|thai",3,10,10,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"ใครแต่งขุนช้างขุนแผน (หลักๆ)?","สุนทรภู่|รัชกาลที่ 2|กวีร่วมสมัย|รัชกาลที่ 6","กวีร่วมสมัย","เป็นมุขปาฐะรวบรวมใหม่","วรรณคดี","level-4|thai",4,15,15,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"ประเทศที่มีเขตเวลามากที่สุด?","รัสเซีย|จีน|ฝรั่งเศส|สหรัฐอเมริกา","ฝรั่งเศส","นับรวมดินแดนโพ้นทะเล 12 เขต","ภูมิศาสตร์","level-5|world",5,20,20,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"สัญลักษณ์ '@' อ่านว่า?","ที่ (At)|และ|ดอท|แฮช","ที่ (At)","At symbol","เทคโนโลยี","level-1|tech",1,1,1,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
