text,options,answer,hint,category,tags,difficulty,points,requiredCoins,createdAt,updatedAt
"วิตามินเอช่วยบำรุงอะไร?","กระดูก|ฟัน|สายตา|ผิวหนัง","สายตา","พบในแครอท","สุขภาพ","level-1|health",1,1,1,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"คลองปานามาเชื่อมมหาสมุทรใด?","แปซิฟิก-อินเดีย|แปซิฟิก-แอตแลนติก|แดง-ดำ|คีล-สุเอซ","แปซิฟิก-แอตแลนติก","Panama Canal","ภูมิศาสตร์","level-2|world",2,5,5,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"ปลาที่ใหญ่ที่สุดในโลก?","ฉลามขาว|วาฬสเปิร์ม|ฉลามวาฬ|ปลาใบ","ฉลามวาฬ","Whale Shark","สัตว์โลก","level-2|animal",2,5,5,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"แม่น้ำที่ยาวที่สุดในโลก?","ไนล์|อเมซอน|แยงซี|โขง","แม่น้ำไนล์","Nile","ภูมิศาสตร์","level-1|world",1,1,1,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"ใครกู้อิสรภาพครั้งที่ 2?","นเรศวร|ตากสิน|ร.1|ร.5","สมเด็จพระเจ้าตากสิน","สถาปนาธนบุรี","ประวัติศาสตร์","level-2|thai",2,5,5,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"ก๊าซที่มีมากที่สุดในอากาศ?","ออกซิเจน|ไนโตรเจน|คาร์บอน|ฮีเลียม","ไนโตรเจน","78%","วิทยาศาสตร์","level-3|nature",3,10,10,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"รุ้งกินน้ำมีกี่สี?","5|6|7|8","7","สีรุ้ง","ความรู้ทั่วไป","level-1|nature",1,1,1,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"ทิศเหนือตรงข้ามกับ?","ตะวันออก|ตะวันตก|ใต้|เฉียงเหนือ","ทิศใต้","South","ความรู้ทั่วไป","level-1|nature",1,1,1,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"สัตว์ที่ร้อง เมี๊ยว คือ?","หมา|แมว|เป็ด|ไก่","แมว","Cat","สัตว์โลก","level-1|animal",1,1,1,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"อวัยวะที่ใช้มองเห็นคือ?","หู|จมูก|ตา|ปาก","ตา","Eye","ความรู้ทั่วไป","level-1|health",1,1,1,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"ธาตุสัญลักษณ์ 'Au' คือ?","เงิน|ทอง|เหล็ก|ปรอท","ทองคำ","Aurum","วิทยาศาสตร์","level-2|chemistry",2,5,5,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"จังหวัดเมืองย่าโม?","ชัยภูมิ|บุรีรัมย์|นครราชสีมา|ขอนแก่น","นครราชสีมา","โคราช","ภูมิศาสตร์","level-1|thai",1,1,1,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"บิดาเศรษฐศาสตร์คือใคร?","สมิธ|มาร์กซ์|เคนส์|นิวตัน","อดัม สมิธ","Adam Smith","ความรู้ทั่วไป","level-4|world",4,15,15,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"สตรีคนแรกได้โนเบล?","มารี คูรี|แม่ชีเทเรซา|มาลาลา|อินทิรา","มารี คูรี","Marie Curie","วิทยาศาสตร์","level-5|world",5,20,20,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"มุมในรูปสามเหลี่ยมรวมกันได้กี่องศา?","90|180|270|360","180","Geometric Sum","คณิตศาสตร์","level-2|math",2,5,5,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"ใครงมงายในอ่างทอง (ขุนช้างขุนแผน)?","ขุนช้าง|ขุนแผน|เถรขวาด|พลายแก้ว","เถรขวาด","ตัวละครฝ่ายอธรรม","วรรณคดี","level-5|thai",5,20,20,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"พยัญชนะไทยตัวแรก?","ข|ก|ค|ฮ","ก","ก.ไก่","ภาษาไทย","level-1|thai",1,1,1,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"ธาตุสัญลักษณ์ 'Na' คือ?","นีออน|นิกเกิล|โซเดียม|เหล็ก","โซเดียม","Sodium","วิทยาศาสตร์","level-2|chemistry",2,5,5,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"ใครค้นพบแรงโน้มถ่วง?","ไอน์สไตน์|นิวตัน|กาลิเลโอ|ฮอว์คิง","นิวตัน","แอปเปิลตก","วิทยาศาสตร์","level-2|physics",2,5,5,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"จังหวัดที่ 77 ของไทย?","บึงกาฬ|สระแก้ว|อำนาจเจริญ|หนองบัวลำภู","บึงกาฬ","Bueng Kan","ภูมิศาสตร์","level-2|thai",2,5,5,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"รหัสพันธุกรรมเรียกว่า?","DNA|RNA|ATP|TPA","DNA","Deoxyribonucleic acid","วิทยาศาสตร์","level-2|biology",2,5,5,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"สงครามร้อยปีสู้กี่ปี?","100|110|116|120","116","อังกฤษ vs ฝรั่งเสศ","ประวัติศาสตร์","level-5|world",5,20,20,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"ธาตุจุดเดือดต่ำสุด?","ไฮโดรเจน|ฮีเลียม|นีออน|ไนโตรเจน","ฮีเลียม","Helium","วิทยาศาสตร์","level-5|chemistry",5,20,20,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"ประเทศที่มีเกาะมากที่สุด?","อินโด|ฟิลิปปินส์|สวีเดน|นอร์เวย์","สวีเดน","Sweden","ภูมิศาสตร์","level-5|world",5,20,20,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"ใครงดกินเนื้อสัตว์ช่วงกินเจ?","ชาวพุทธ|ชาวคริสต์|ชาวอิสลาม|ชาวฮินดู","ชาวพุทธ","เฉพาะผู้ศรัทธา","ความรู้ทั่วไป","level-1|culture",1,1,1,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"สีแดงผสมน้ำเงินได้สี?","ม่วง|เขียว|ส้ม|น้ำตาล","ม่วง","Purple","ศิลปะ","level-1|art",1,1,1,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"ใครแต่งพระอภัยมณี?","สุนทรภู่|ร.2|ร.6|น.ม.ส.","สุนทรภู่","กวีเอก","วรรณคดี","level-2|thai",2,5,5,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"จังหวัดที่ชื่อสั้นที่สุด?","แพร่|น่าน|เลย|ตาก","เลย","Loei","ภูมิศาสตร์","level-1|thai",1,1,1,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"ชื่อสยามเปลี่ยนเป็นไทยปี?","2475|2482|2500|2516","2482","สมัยจอมพล ป.","ประวัติศาสตร์","level-4|thai",4,15,15,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"วันลอยกระทงคืนเดือน?","1|10|11|12","12","เพ็ญเดือน 12","ความรู้ทั่วไป","level-1|culture",1,1,1,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"สัญลักษณ์ '@' อ่านว่า?","ที่ (At)|และ|ดอท|แฮช","ที่ (At)","At symbol","เทคโนโลยี","level-1|tech",1,1,1,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"อนุภาคไม่มีประจุไฟฟ้า?","โปรตอน|อิเล็กตรอน|นิวตรอน|โฟตอน","นิวตรอน","Neutron","วิทยาศาสตร์","level-2|physics",2,5,5,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"ดาวเคราะห์วงแหวนชัดสุด?","พฤหัส|เสาร์|ยูเรเนัส|เนปจูน","ดาวเสาร์","Saturn","วิทยาศาสตร์","level-1|astronomy",1,1,1,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"แม่สีมีกี่สี?","2|3|4|5","3","แดง เหลือง น้ำเงิน","ศิลปะ","level-1|art",1,1,1,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
