text,options,answer,hint,category,tags,difficulty,points,requiredCoins,createdAt,updatedAt
"สงครามฝิ่น (Opium Wars) เกิดขึ้นระหว่างประเทศใด?","จีน-ฝรั่งเศส|จีน-อังกฤษ|ญี่ปุ่น-อังกฤษ|อินเดีย-อังกฤษ","จีน-อังกฤษ","China vs Great Britain","ประวัติศาสตร์","level-4|world",4,15,15,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"ธาตุชนิดเดียวที่ไม่มีนิวตรอนในนิวเคลียส (ในรูปไอโซโทปปกติ) คือ?","ฮีเลียม|ไฮโดรเจน|ลิเธียม|โบรอน","ไฮโดรเจน","Hydrogen-1 (Protium)","วิทยาศาสตร์","level-5|chemistry",5,20,20,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"ในเรื่องรามเกียรติ์ ใครคือผู้ปกครองเมืองขีดขิน?","พาลี|สุครีพ|หนุมาน|องคต","พาลี","พี่ชายของสุครีพ","วรรณคดี","level-3|thai",3,10,10,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"เรือใบที่พระบาทสมเด็จพระเจ้าอยู่หัวรัชกาลที่ 9 ทรงต่อด้วยพระองค์เองคือแบบใด?","มด|ไมโครมด|ซุปเปอร์มด|มดแดง","มด","Moth class","ความรู้ทั่วไป","level-3|thai",3,10,10,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"เกาะที่อยู่ใต้สุดของประเทศญี่ปุ่นคือเกาะใด?","ฮอนชู|ฮอกไกโด|คิวชู|โอกินาวา","โอกินาวา","Okinawa","ภูมิศาสตร์","level-3|world",3,10,10,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"ใครคือบิดาแห่งระเบิดไฮโดรเจน?","ออปเพนไฮเมอร์|ไอน์สไตน์|เอ็ดเวิร์ด เทลเลอร์|อ็อตโต ฮาน","เอ็ดเวิร์ด เทลเลอร์","Edward Teller","ประวัติศาสตร์","level-5|world",5,20,20,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"ปรากฏการณ์ 'ฝุ่น PM 2.5' คำว่า PM ย่อมาจากอะไร?","Power Matter|Particulate Matter|Private Matter|Point Matter","Particulate Matter","อนุภาคแขวนลอยในอากาศ","ความรู้ทั่วไป","level-4|science",4,15,15,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"หน่วยเงินตราของประเทศฟิลิปปินส์คืออะไร?","ดอลลาร์|เปโซ|บาท|เรียล","เปโซ","Philippine Peso","ความรู้ทั่วไป","level-1|finance",1,1,1,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"ใครคือผู้ประดิษฐ์ลิฟต์ที่มีระบบความปลอดภัย (Safety Elevator) เป็นคนแรก?","เอดิสัน|เอลิชา โอทิส|นิโคลา เทสลา|เจมส์ วัตต์","เอลิชา โอทิส","Elisha Otis","ความรู้ทั่วไป","level-4|world",4,15,15,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"จังหวัดใดในไทยได้ชื่อว่า 'ปารีสแห่งตะวันออก' ในสมัยอดีต?","เชียงใหม่|ภูเก็ต|กรุงเทพมหานคร|แพร่","กรุงเทพมหานคร","Bangkok","ความรู้ทั่วไป","level-3|thai",3,10,10,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"กีฬาชนิดใดมีการแข่งขันที่เรียกว่า 'Tour de France'?","วิ่งมาราธอน|แข่งรถสูตรหนึ่ง|แข่งจักรยาน|แข่งว่ายน้ำ","แข่งจักรยาน","Cycling","ความรู้ทั่วไป","level-2|sport",2,5,5,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"ธาตุชนิดใดมีสัญลักษณ์ทางเคมีว่า 'Zn'?","สังกะสี|เหล็ก|ปรอท|ทองแดง","สังกะสี","Zinc","วิทยาศาสตร์","level-2|chemistry",2,5,5,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"ใครคือพระมหากษัตริย์ที่ทรงสถาปนาเมือง 'เชียงใหม่'?","พ่อขุนรามคำแหง|พระเจ้ายอดเชียงราย|พญามังราย|พญางำเมือง","พญามังราย","ผู้สร้างเวียงเหล็ก","ประวัติศาสตร์","level-3|thai",3,10,10,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"สัตว์ชนิดใดเป็นสัตว์ประจำชาติของประเทศนิวซีแลนด์?","แกะ|นกกีวี|จิงโจ้|เพนกวิน","นกกีวี","Kiwi bird","ความรู้ทั่วไป","level-2|animal",2,5,5,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"ในชั้นบรรยากาศโลก ก๊าซชนิดใดช่วยกรองรังสี UV จากดวงอาทิตย์?","ออกซิเจน|โอโซน|ไนโตรเจน|คาร์บอนไดออกไซด์","โอโซน","Ozone (O3)","วิทยาศาสตร์","level-3|nature",3,10,10,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"ใครคือจิตรกรผู้วาดภาพจิตรกรรม 'Guernica'?","แวน โก๊ะ|ดา วินชี|ปาโบล ปิกัสโซ|ซัลวาดอร์ ดาลี","ปาโบล ปิกัสโซ","Pablo Picasso","ศิลปะ","level-4|world",4,15,15,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"หน่วยวัดความเร็วประมวลผลของ CPU คอมพิวเตอร์มักใช้หน่วยใด?","ไบต์|แอมแปร์|เฮิรตซ์|วัตต์","เฮิรตซ์","Hertz (GHz)","เทคโนโลยี","level-2|tech",2,5,5,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"เมืองหลวงของประเทศตุรกีคือเมืองใด?","อิสตันบูล|อังการา|อันตัลยา|อิซเมียร์","อังการา","Ankara (หลายคนสับสนกับอิสตันบูล)","ภูมิศาสตร์","level-4|world",4,15,15,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"วิตามินชนิดใดป้องกันอาการโรคเลือดจาง (B12)?","วิตามินบี 1|วิตามินบี 6|วิตามินบี 12|วิตามินบี 2","วิตามินบี 12","Cobalamin","วิทยาศาสตร์","level-3|health",3,10,10,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"ใครคือมหาราชผู้ทรงกู้เอกราชจากพม่าครั้งที่ 2?","สมเด็จพระนเรศวร|สมเด็จพระนารายณ์|สมเด็จพระเจ้าตากสิน|รัชกาลที่ 1","สมเด็จพระเจ้าตากสิน","กู้อิสรภาพและตั้งกรุงธนบุรี","ประวัติศาสตร์","level-2|thai",2,5,5,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"สะพานข้ามแม่น้ำแคว ตั้งอยู่ที่จังหวัดใด?","ตาก|กาญจนบุรี|ราชบุรี|เพชรบุรี","กาญจนบุรี","Kanchanaburi","ความรู้ทั่วไป","level-1|thai",1,1,1,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"สัตว์ชนิดใดมีขนาดตัวเล็กที่สุดในบรรดาตัวเลือกนี้?","กบ|แมลงวัน|ไรฝุ่น|มดแดง","ไรฝุ่น","Dust Mite (มองด้วยตาเปล่าไม่เห็น)","ความรู้ทั่วไป","level-4|animal",4,15,15,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"ใครคือคนแรกที่แปลนิทานอีสปเป็นภาษาไทย?","สุนทรภู่|พระยาศรีสุนทรโวหาร|กรมพระยาดำรงราชานุภาพ|รัชกาลที่ 6","พระยาศรีสุนทรโวหาร","น้อย อาจารยางกูร","ภาษาไทย","level-5|thai",5,20,20,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"ธาตุชนิดใดมีสัญลักษณ์ทางเคมีว่า 'Pt'?","ฟอสฟอรัส|แพลตตินัม|พลูโตเนียม|โพแทสเซียม","แพลตตินัม","Platinum (ทองคำขาว)","วิทยาศาสตร์","level-4|chemistry",4,15,15,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"เกาะที่ใหญ่ที่สุดในโลกคือเกาะใด?","ออสเตรเลีย|กรีนแลนด์|นิวไกนี|บอร์เนียว","กรีนแลนด์","Greenland (ออสเตรเลียถือเป็นทวีป)","ภูมิศาสตร์","level-4|world",4,15,15,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"ใครคือบิดาแห่งการบินโลก?","พี่น้องไรต์|ลีโอนาร์โด ดา วินชี|ชาร์ลส์ ลินด์เบิร์ก|เกรแฮม เบลล์","พี่น้องไรต์","Orville and Wilbur Wright","ประวัติศาสตร์","level-3|world",3,10,10,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"สัตว์ชนิดใดใช้ 'หนวด' สัมผัสแทนสายตาที่มองไม่ชัดในน้ำขุ่น?","ฉลาม|โลมา|ปลาดุก|ปลาทู","ปลาดุก","Catfish","ความรู้ทั่วไป","level-2|animal",2,5,5,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"ดาวเคราะห์ดวงใดในระบบสุริยะที่มีแกนหมุนตะแคงเกือบระนาบกับวงโคจร?","พฤหัสบดี|เสาร์|ยูเรเนัส|เนปจูน","ยูเรเนัส","Uranus","วิทยาศาสตร์","level-5|astronomy",5,20,20,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"จังหวัดใดในประเทศไทยมีภูมิศาสตร์เป็น 'คาบสมุทร'?","จันทบุรี|ระนอง|สงขลา|นราธิวาส","สงขลา","ตั้งอยู่บนคาบสมุทรสทิงพระ","ภูมิศาสตร์","level-4|thai",4,15,15,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
