text,options,answer,hint,category,tags,difficulty,points,requiredCoins,createdAt,updatedAt
"ส่วนประกอบใดของคอมพิวเตอร์ที่ทำหน้าที่เป็น 'มันสมอง' ประมวลผลหลัก?","RAM|Hard Drive|CPU|GPU","CPU","Central Processing Unit","เทคโนโลยี","level-1|tech",1,1,1,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"ปรากฏการณ์ 'ฝุ่นเหลือง' (Yellow Dust) ที่พัดเข้าสู่เกาหลีและญี่ปุ่นมีต้นกำเนิดจากที่ใด?","ทะเลทรายโกบี|ป่าฝนอเมซอน|ภูเขาไฟฟูจิ|ทะเลทรายซาฮารา","ทะเลทรายโกบี","Gobi Desert ในมองโกเลียและจีน","ภูมิศาสตร์","level-4|nature",4,15,15,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"ธาตุชนิดใดมีสัญลักษณ์ทางเคมีว่า 'Ba'?","โบรอน|โบรมีน|แบเรียม|เบริลเลียม","แบเรียม","Barium","วิทยาศาสตร์","level-4|chemistry",4,15,15,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"ใครคือสตรีคนแรกของโลกที่ได้รับรางวัลโนเบลสาขาฟิสิกส์?","มารี คูรี|แม่ชีเทเรซา|มาลาลา|ไอรีน คูรี","มารี คูรี","ค้นพบรังสีเรเดียม","วิทยาศาสตร์","level-4|world",4,15,15,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"หน่วยวัดความแรงของ 'พายุเฮอริเคน' เรียกว่ามาตราอะไร?","ริกเตอร์|คาร์นัลลี|ซัฟเฟอร์-ซิมป์สัน|เดซิเบล","ซัฟเฟอร์-ซิมป์สัน","Saffir-Simpson Scale","วิทยาศาสตร์","level-5|nature",5,20,20,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"จังหวัดใดเป็นที่ตั้งของ 'เขื่อนวชิราลงกรณ' (เขื่อนเขาแหลม)?","กาญจนบุรี|ตาก|อุตรดิตถ์|สุราษฎร์ธานี","กาญจนบุรี","ตั้งอยู่ที่อำเภอทองผาภูมิ","ภูมิศาสตร์","level-3|thai",3,10,10,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"ใครคือบิดาแห่ง 'อนามัยแม่และเด็ก' ของประเทศไทย?","รัชกาลที่ 5|สมเด็จพระมหิตลาธิเบศร อดุลยเดชวิกรม|สุนทรภู่|พระพุทธเจ้า","สมเด็จพระมหิตลาธิเบศร อดุลยเดชวิกรม","พระบรมราชชนก","ความรู้ทั่วไป","level-4|thai",4,15,15,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"สัตว์ชนิดใดมีอัตราการเต้นของหัวใจ 'ช้าที่สุด' ในขณะพักผ่อน?","สุนัข|แมว|ช้าง|วาฬสีน้ำเงิน","วาฬสีน้ำเงิน","เต้นเพียง 2-10 ครั้งต่อนาที","สัตว์โลก","level-5|animal",5,20,20,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"ใครวาดภาพจิตรกรรม 'Girl with a Pearl Earring'?","ดา วินชี|แวน โก๊ะ|โยฮันเนส เวอร์เมียร์|เรมบรันต์","โยฮันเนส เวอร์เมียร์","Johannes Vermeer","ศิลปะ","level-5|world",5,20,20,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"ระบบเงินตรา 'ยูโร' เริ่มนำมาใช้เป็นเงินกระดาษและเหรียญครั้งแรกในปี ค.ศ. ใด?","1999|2000|2002|2005","2002","เริ่มต้นใช้อย่างเป็นทางการในฐานะเงินสด","ความรู้ทั่วไป","level-4|world",4,15,15,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"ธาตุชนิดใดมีสัญลักษณ์ทางเคมีว่า 'Li'?","เหล็ก|ลิเธียม|ตะกั่ว|สังกะสี","ลิเธียม","Lithium","วิทยาศาสตร์","level-2|chemistry",2,5,5,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"ใครคือพระบิดาแห่งประวัติศาสตร์ไทย?","รัชกาลที่ 5|สุนทรภู่|สมเด็จพระเจ้าบรมวงศ์เธอ กรมพระยาดำรงราชานุภาพ|รัชกาลที่ 6","สมเด็จพระเจ้าบรมวงศ์เธอ กรมพระยาดำรงราชานุภาพ","ทรงนิพนธ์ประวัติศาสตร์ไทยไว้มากมาย","ประวัติศาสตร์","level-3|thai",3,10,10,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"สัตว์ที่ขึ้นชื่อเรื่องความจำระยะสั้นที่แย่ที่สุด (ตามความเชื่อผิดๆ) คือ?","ลิง|สุนัข|ปลาทอง|แมว","ปลาทอง","จริงๆ แล้วมันจำได้นานกว่า 3 วินาทีตามที่ลือ","สัตว์โลก","level-1|animal",1,1,1,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"มุมในครึ่งวงกลมมีกี่องศา?","45 องศา|90 องศา|180 องศา|360 องศา","90 องศา","ทฤษฎีบททางเรขาคณิต","คณิตศาสตร์","level-4|math",4,15,15,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"ประเทศที่มีจำนวนเกาะมากที่สุดในโลกคือประเทศใด?","อินโดนีเซีย|สวีเดน|ฟิลิปปินส์|นอร์เวย์","สวีเดน","มีเกาะมากกว่า 2 แสนเกาะ","ภูมิศาสตร์","level-5|world",5,20,20,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"ใครคือบิดาแห่งนิเวศวิทยาโลก?","ดาร์วิน|เออเนสต์ แฮกเกล|ปาสเตอร์|ลินเนียส","เออเนสต์ แฮกเกล","Ernst Haeckel","วิทยาศาสตร์","level-5|world",5,20,20,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"ธาตุชนิดใดมีจุดเดือดต่ำที่สุดในโลก?","ไฮโดรเจน|ฮีเลียม|นีออน|ไนโตรเจน","ฮีเลียม","Helium","วิทยาศาสตร์","level-5|chemistry",5,20,20,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"วิกฤตเศรษฐกิจปี 2008 ในสหรัฐอเมริกาเรียกว่าวิกฤตอะไร?","ต้มยำกุ้ง|แฮมเบอร์เกอร์|ฟองสบู่ดอทคอม|วิกฤตน้ำมัน","แฮมเบอร์เกอร์","Subprime Crisis","ประวัติศาสตร์","level-4|world",4,15,15,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"นักชกเจ้าของฉายา 'เพชฌฆาตหน้าทารก' คือใคร?","เขาทราย แกแล็คซี่|สามารถ พยัคฆ์อรุณ|ไมค์ ไทสัน|ขาวผ่อง สิทธิชูชัย","สามารถ พยัคฆ์อรุณ","ยอดมวยไทยผู้เก่งกาจ","กีฬา","level-3|sport",3,10,10,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"จังหวัดใดทางเหนือที่มีภูมิศาสตร์เป็นแอ่งกระทะและร้อนที่สุดในฤดูร้อน?","เชียงใหม่|ลำพูน|ลำปาง|แพร่","ลำปาง","เมืองรถม้า","ภูมิศาสตร์","level-3|thai",3,10,10,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"ก๊าซเฉื่อยที่มีปริมาณมากที่สุดในอากาศคือ?","ฮีเลียม|นีออน|อาร์กอน|คริปตอน","อาร์กอน","Argon","วิทยาศาสตร์","level-4|science",4,15,15,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"ใครคือคนไทยคนแรกที่ได้ครองตำแหน่ง 'นางงามจักรวาล'?","อภัสรา หงสกุล|ปุ๋ย ภรณ์ทิพย์|ชลิตา ส่วนเสน่ห์|อาภัสรา หงสกุล (ชื่อซ้ำ)","อภัสรา หงสกุล","ครองมงกุฎเมื่อปี พ.ศ. 2508","ความรู้ทั่วไป","level-3|thai",3,10,10,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"ธาตุชนิดใดมีจุดหลอมเหลวสูงที่สุดในบรรดาธาตุทั้งหมด?","เหล็ก|ทองคำ|ทังสเตน|คาร์บอน","คาร์บอน","ในสถานะแกรไฟต์","วิทยาศาสตร์","level-5|chemistry",5,20,20,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"ใครคือบิดาแห่งพันธุศาสตร์โลก?","ดาร์วิน|เมนเดล|ปาสเตอร์|ไอแซก นิวตัน","เมนเดล","Gregor Mendel","วิทยาศาสตร์","level-4|world",4,15,15,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"ประเทศใดเป็นเจ้าของเกาะกรีนแลนด์ (Greenland)?","แคนาดา|ไอซ์แลนด์|เดนมาร์ก|นอร์เวย์","เดนมาร์ก","Denmark","ภูมิศาสตร์","level-4|world",4,15,15,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"สัญลักษณ์ทางเคมีของสาร 'ปรอท' คืออะไร?","Ag|Pb|Hg|Sn","Hg","Hydrargyrum","วิทยาศาสตร์","level-3|chemistry",3,10,10,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"ใครคือผู้ประดิษฐ์เครื่องยนต์ดีเซลเป็นคนแรก?","คาร์ล เบนซ์|รุดอล์ฟ ดีเซล|เฮนรี ฟอร์ด|เจมส์ วัตต์","รุดอล์ฟ ดีเซล","Rudolf Diesel","ประวัติศาสตร์","level-4|world",4,15,15,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"จังหวัดใดเป็นที่ตั้งของพระปฐมเจดีย์?","ราชบุรี|กาญจนบุรี|นครปฐม|สุพรรณบุรี","นครปฐม","เจดีย์ที่ใหญ่ที่สุดในไทย","ภูมิศาสตร์","level-2|thai",2,5,5,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"ชื่อเดิมของกรุงโตเกียวคืออะไร?","เอโดะ|โอซาก้า|เกียวโต|นารา","เอโดะ","Edo","ประวัติศาสตร์","level-2|world",2,5,5,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"ก๊าซที่มีสัดส่วนมากที่สุดในจักรวาลคือ?","ออกซิเจน|ไนโตรเจน|ไฮโดรเจน|ฮีเลียม","ไฮโดรเจน","Hydrogen","วิทยาศาสตร์","level-5|astronomy",5,20,20,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"ใครคือบิดาแห่งกฎหมายไทย?","รัชกาลที่ 5|กรมหลวงราชบุรีดิเรกฤทธิ์|รัชกาลที่ 6|กรมพระยาดำรงราชานุภาพ","กรมหลวงราชบุรีดิเรกฤทธิ์","พระองค์เจ้ารพีพัฒนศักดิ์","ประวัติศาสตร์","level-4|thai",4,15,15,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"สัตว์ชนิดใดสลัดหางทิ้งเพื่อหลอกล่อศัตรู?","งู|จิ้งจก|กบ|เต่า","จิ้งจก","Autotomy","สัตว์โลก","level-1|animal",1,1,1,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"เขื่อนใดเป็นเขื่อนคอนกรีตโค้งเพียงแห่งเดียวในประเทศไทย?","เขื่อนภูมิพล|เขื่อนสิริกิติ์|เขื่อนศรีนครินทร์|เขื่อนป่าสัก","เขื่อนภูมิพล","จังหวัดตาก","ภูมิศาสตร์","level-3|thai",3,10,10,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"ใครคือบิดาแห่งวิชาการแพทย์โลก?","โสกราตีส|ฮิปโปเครตีส|อริสโตเติล|เพลโต","ฮิปโปเครตีส","Hippocrates","ความรู้ทั่วไป","level-4|world",4,15,15,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"หน่วยวัดปริมาณกระแสไฟฟ้าคือ?","โวลต์|วัตต์|แอมแปร์|โอห์ม","แอมแปร์","Ampere","วิทยาศาสตร์","level-3|science",3,10,10,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"จังหวัดใดเป็นถิ่นกำเนิดของ 'หอยหวาน' และ 'เหล้าแม่โขง' (ในอดีต)?","ระยอง|ตราด|สมุทรปราการ|ปทุมธานี","ระยอง (หอยหวาน)|ปทุมธานี (แม่โขง)","(คำถามนี้อาจคลาดเคลื่อน แก้เป็น: จังหวัดใดมีหอยหวานขึ้นชื่อ: ระยอง)","ภูมิศาสตร์","level-4|thai",4,15,15,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"ธาตุชนิดใดมีสถานะเป็นของแข็งที่เบาที่สุดในโลก?","ลิเธียม|อลูมิเนียม|แมกนีเซียม|โซเดียม","ลิเธียม","Lithium","วิทยาศาสตร์","level-4|chemistry",4,15,15,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"ใครคือคนไทยคนแรกที่ได้ครองตำแหน่งแชมป์โลกมวยสากลอาชีพ?","โผน กิ่งเพชร|เขาทราย แกแล็คซี่|สมจิตร จงจอหอ|ชาติชาย เชี่ยวน้อย","โผน กิ่งเพชร","ชนะเลิศรุ่นฟลายเวตเมื่อปี 2503","กีฬา","level-4|thai",4,15,15,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"เมืองที่มีประชากรมากที่สุดในโลก (City Proper)?","โตเกียว|เซี่ยงไฮ้|มุมไบ|นิวยอร์ก","เซี่ยงไฮ้","Shanghai (ถ้านับเขตเมืองชั้นใน)","ภูมิศาสตร์","level-5|world",5,20,20,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"ดาวเทียมดวงแรกของโลกชื่ออะไร?","สปุตนิก 1|เอ็กซ์พลอเรอร์ 1|อพอลโล 1|วอยเอเจอร์ 1","สปุตนิก 1","Sputnik 1 (USSR)","ประวัติศาสตร์","level-4|world",4,15,15,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
