text,options,answer,hint,category,tags,difficulty,points,requiredCoins,createdAt,updatedAt
"หน่วยวัดความเร็วของเรือในทะเลเรียกว่าอะไร?","เมตรต่อวินาที|กิโลเมตรต่อชั่วโมง|นอต|ไมล์","นอต","Knot","ความรู้ทั่วไป","level-3|general",3,10,10,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"วิตามินชนิดใดบำรุงระบบประสาทและสมอง พบมากในเนื้อสัตว์และไข่?","วิตามินเอ|วิตามินบี 12|วิตามินซี|วิตามินอี","วิตามินบี 12","Cobalamin","ความรู้ทั่วไป","level-3|health",3,10,10,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"ใครคือผู้ประดิษฐ์ปากกาลูกลื่นคนแรกของโลก?","เอดิสัน|ลาสโล บีโร|เบลล์|พี่น้องไรต์","ลาสโล บีโร","Laszlo Biro","ความรู้ทั่วไป","level-4|world",4,15,15,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"ประเทศใดมีประชากรมากที่สุดเป็นอันดับ 3 ของโลก?","อินเดีย|จีน|สหรัฐอเมริกา|อินโดนีเซีย","สหรัฐอเมริกา","USA รองจากอินเดียและจีน","ภูมิศาสตร์","level-3|world",3,10,10,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"ธาตุชนิดใดมีสัญลักษณ์ทางเคมีว่า 'He'?","ไฮโดรเจน|ฮีเลียม|นีออน|อาร์กอน","ฮีเลียม","Helium","วิทยาศาสตร์","level-2|chemistry",2,5,5,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"อนุสาวรีย์เทพีเสรีภาพ ตั้งอยู่ที่นครใด?","วอชิงตัน ดี.ซี.|นิวยอร์ก|ลอสแอนเจลิส|ชิคาโก","นิวยอร์ก","New York City","ภูมิศาสตร์","level-2|world",2,5,5,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"ใครคือผู้แต่งมหากาพย์ 'สามก๊ก' (ฉบับดั้งเดิม)?","ขงจื๊อ|หลอกว้านจง|เล่าปี่|โจโฉ","หลอกว้านจง","Luo Guanzhong","วรรณคดี","level-4|world",4,15,15,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"อวัยวะใดทำหน้าที่แลกเปลี่ยนก๊าซในร่างกายมนุษย์?","ตับ|ปอด|ไต|หัวใจ","ปอด","Lungs","ความรู้ทั่วไป","level-1|health",1,1,1,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"หน่วยเงินของประเทศสิงคโปร์คืออะไร?","ริงกิต|เปโซ|ดอลลาร์|บาท","ดอลลาร์","Singapore Dollar","ความรู้ทั่วไป","level-1|finance",1,1,1,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"ภูเขาไฟเอตนา (Mount Etna) ตั้งอยู่ในประเทศใด?","กรีซ|อิตาลี|ฝรั่งเศส|สเปน","อิตาลี","บนเกาะซิซิลี","ภูมิศาสตร์","level-3|world",3,10,10,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"สัญลักษณ์ทางเคมีของ 'เหล็ก' คืออะไร?","Fe|Au|Ag|Cu","Fe","Ferrum","วิทยาศาสตร์","level-2|chemistry",2,5,5,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"ใครคือผู้ค้นพบทวีปออสเตรเลีย (ชาวยุโรปคนแรก)?","โคลัมบัส|วาสโก ดา กามา|กัปตันเจมส์ คุก|มาเจลลัน","กัปตันเจมส์ คุก","Captain James Cook","ประวัติศาสตร์","level-3|world",3,10,10,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"ผลไม้อะไรมีฉายาว่า 'King of Fruits'?","มังคุด|ส้ม|ทุเรียน|ขนุน","ทุเรียน","ราชาแห่งผลไม้","ความรู้ทั่วไป","level-1|food",1,1,1,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"ทิศทางที่อยู่ระหว่าง ทิศเหนือ กับ ทิศตะวันออก คือทิศใด?","ตะวันออกเฉียงเหนือ|ตะวันออกเฉียงใต้|ตะวันตกเฉียงเหนือ|ตะวันตกเฉียงใต้","ตะวันออกเฉียงเหนือ","อีสาน","ภูมิศาสตร์","level-2|nature",2,5,5,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"กีฬาใดใช้ 'ไม้คิว' ในการเล่น?","กอล์ฟ|สนุ๊กเกอร์|ฮอกกี้|คริกเก็ต","สนุ๊กเกอร์","Snooker","ความรู้ทั่วไป","level-2|sport",2,5,5,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"นักร้องเจ้าของฉายา 'King of Pop' คือใคร?","เอลวิส เพรสลีย์|ไมเคิล แจ็คสัน|จัสติน บีเบอร์|เฟรดดี เมอร์คูรี","ไมเคิล แจ็คสัน","Michael Jackson","ความรู้ทั่วไป","level-2|movie",2,5,5,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"ก๊าซชนิดใดช่วยให้ไฟติด (สนับสนุนการเผาไหม้)?","ไนโตรเจน|คาร์บอนไดออกไซด์|ออกซิเจน|อาร์กอน","ออกซิเจน","Oxygen","วิทยาศาสตร์","level-2|science",2,5,5,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"ใครคือบิดาแห่งดนตรีคลาสสิกผู้แต่ง 'The Moonlight Sonata'?","โมซาร์ต|บีโทเฟน|บาธ|โชแปง","บีโทเฟน","Beethoven","ศิลปะ","level-4|world",4,15,15,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"เกลือแกง มีชื่อทางเคมีว่าอะไร?","โพแทสเซียมคลอไรด์|โซเดียมคลอไรด์|แคลเซียมคาร์บอเนต|โซเดียมคาร์บอเนต","โซเดียมคลอไรด์","NaCl","วิทยาศาสตร์","level-3|chemistry",3,10,10,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"พระประธานในพระอุโบสถวัดพระเชตุพนฯ (วัดโพธิ์) คือปางใด?","ปางไสยาสน์|ปางสมาธิ|ปางมารวิชัย|ปางประทานพร","ปางไสยาสน์","พระนอนวัดโพธิ์","ความรู้ทั่วไป","level-2|culture",2,5,5,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"ใครคือคนแรกที่ใช้กล้องโทรทรรศน์สังเกตดวงจันทร์และดาวพฤหัสบดี?","ไอแซก นิวตัน|กาลิเลโอ กาลิเลอี|เคปเลอร์|โคเปอร์นิคัส","กาลิเลโอ กาลิเลอี","Galileo","วิทยาศาสตร์","level-3|history",3,10,10,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"ประเทศใดส่งคนขึ้นไปบนอวกาศเป็นคนแรกของโลก?","สหรัฐอเมริกา|สหภาพโซเวียต|จีน|ฝรั่งเศส","สหภาพโซเวียต","ยูริ กาการิน (USSR)","ประวัติศาสตร์","level-3|world",3,10,10,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"หน่วยวัดปริมาตรน้ำ 1 ลิตร เท่ากับกี่มิลลิลิตร?","100|500|1,000|1,500","1,000","1,000 ml","คณิตศาสตร์","level-1|general",1,1,1,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"สัตว์ชนิดใดมีหัวใจใหญ่ที่สุดในโลก?","ช้าง|วาฬสีน้ำเงิน|ยีราฟ|ฮิปโป","วาฬสีน้ำเงิน","Blue Whale","ความรู้ทั่วไป","level-2|animal",2,5,5,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"จังหวัดใดในประเทศไทยที่มีชื่อเสียงเรื่อง 'กระเบื้องเคลือบดินเผา' และงานเบญจรงค์?","นนทบุรี|สมุทรสาคร|นครปฐม|ฉะเชิงเทรา","สมุทรสาคร","ย่านกระทุ่มแบนและมหาชัย","ความรู้ทั่วไป","level-3|thai",3,10,10,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"สัญลักษณ์ 'สวัสดิกะ' เดิมเป็นสัญลักษณ์แห่งโชคลาภในศาสนาใด?","คริสต์|อิสลาม|พราหมณ์-ฮินดู|ซิกข์","พราหมณ์-ฮินดู","Swastika","ความรู้ทั่วไป","level-3|culture",3,10,10,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"คลองใดเป็นเส้นทางลัดเชื่อมระหว่างมหาสมุทรแปซิฟิกและแอตแลนติก?","คลองสุเอซ|คลองปานามา|คลองคีล|คลองเวนิส","คลองปานามา","Panama Canal","ภูมิศาสตร์","level-2|world",2,5,5,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"ใครคือพระมหากษัตริย์ที่ทรงประกาศใช้ พ.ร.บ. เลิกทาส?","รัชกาลที่ 3|รัชกาลที่ 4|รัชกาลที่ 5|รัชกาลที่ 6","รัชกาลที่ 5","สมเด็จพระปิยมหาราช","ประวัติศาสตร์","level-2|thai",2,5,5,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"ก๊าซที่มีสัดส่วนมากที่สุดในอากาศของโลกคือ?","ออกซิเจน|คาร์บอนไดออกไซด์|ไนโตรเจน|อาร์กอน","ไนโตรเจน","78%","วิทยาศาสตร์","level-3|nature",3,10,10,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"สระน้ำที่ใหญ่ที่สุดในโลก (นับตามพื้นที่ผิว) คือ?","ทะเลสาบแคสเปียน|ทะเลสาบวิกตอเรีย|ทะเลสาบไบคาล|ทะเลสาบสุพีเรีย","ทะเลสาบแคสเปียน","Caspian Sea","ภูมิศาสตร์","level-4|world",4,15,15,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"ใครคือบิดาแห่งเศรษฐศาสตร์สมัยใหม่?","คาร์ล มาร์กซ์|อดัม สมิธ|เคนส์|มิลตัน ฟริดแมน","อดัม สมิธ","The Wealth of Nations","ความรู้ทั่วไป","level-4|economics",4,15,15,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"ปรากฏการณ์เอลนีโญ (El Niño) มักทำให้ฝั่งตะวันออกของแปซิฟิก (อเมริกาใต้) เป็นอย่างไร?","แห้งแล้ง|ฝนตกหนัก|หนาวจัด|พายุทราย","ฝนตกหนัก|น้ำท่วม","ขณะที่ฝั่งเอเชียจะแห้งแล้ง","วิทยาศาสตร์","level-4|nature",4,15,15,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"ใครคือผู้ประดิษฐ์เครื่องยนต์เบนซินคนแรกของโลก?","เฮนรี ฟอร์ด|คาร์ล เบนซ์|นิโคลา เทสลา|รุดอล์ฟ ดีเซล","คาร์ล เบนซ์","Karl Benz","ประวัติศาสตร์","level-4|world",4,15,15,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"จังหวัดใดของไทยที่มีพื้นที่ชายฝั่งทะเลสั้นที่สุด (ไม่นับจังหวัดไม่ติดทะเล)?","สมุทรสงคราม|กรุงเทพฯ|ตราด|สตูล","กรุงเทพฯ","มีชายหาดบางขุนเทียนเพียงเล็กน้อย","ภูมิศาสตร์","level-5|thai",5,20,20,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"ธาตุชนิดใดมีจุดหลอมเหลวสูงที่สุดในโลก?","เหล็ก|ทองคำ|ทังสเตน|คาร์บอน","คาร์บอน","ในสถานะแกรไฟต์จะระเหิดที่อุณหภูมิสูงมาก","วิทยาศาสตร์","level-5|chemistry",5,20,20,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"ใครคือสตรีคนแรกที่ได้รับรางวัลโนเบลสาขาสันติภาพ?","มาลาลา|แม่ชีเทเรซา|เบอร์ธา ฟอน ซุตเนอร์|อองซานซูจี","เบอร์ธา ฟอน ซุตเนอร์","Bertha von Suttner","ความรู้ทั่วไป","level-5|world",5,20,20,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"อนุภาค 'ฮิกส์โบซอน' มีชื่อเรียกเล่นๆ ว่าอะไร?","อนุภาคแสง|อนุภาคผี|อนุภาคพระเจ้า|อนุภาคไร้มวล","อนุภาคพระเจ้า","God Particle","วิทยาศาสตร์","level-5|physics",5,20,20,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"ประเทศที่มีเขตเวลา (Time Zones) มากที่สุดในโลกคือ?","รัสเซีย|จีน|สหรัฐอเมริกา|ฝรั่งเศส","ฝรั่งเศส","นับรวมดินแดนโพ้นทะเล (12 เขต)","ภูมิศาสตร์","level-5|world",5,20,20,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"นักประพันธ์ผู้แต่งทำนองเพลงสรรเสริญพระบารมีคือใคร?","รัชกาลที่ 6|ปิออตร์ ชูคอฟสกี้|สมเด็จเจ้าฟ้ากรมพระยานริศรานุวัดติวงศ์|พระเจนดุริยางค์","ปิออตร์ ชูคอฟสกี้","นักประพันธ์ชาวรัสเซีย","ดนตรี","level-5|thai",5,20,20,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"สมการ Schrödinger's Cat เกี่ยวข้องกับสาขาวิชาใด?","ฟิสิกส์คลาสสิก|กลศาสตร์ควอนตัม|ชีววิทยาโมเลกุล|ดาราศาสตร์","กลศาสตร์ควอนตัม","Quantum Mechanics","วิทยาศาสตร์","level-5|physics",5,20,20,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
