text,options,answer,hint,category,tags,difficulty,points,requiredCoins,createdAt,updatedAt
"หน่วยความจำประเภทใดที่ข้อมูลจะหายไปเมื่อปิดเครื่องคอมพิวเตอร์?","HDD|SSD|RAM|ROM","RAM","Random Access Memory","เทคโนโลยี","level-2|tech",2,5,5,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"ภาษา CSS ใช้สำหรับทำอะไรในการสร้างเว็บไซต์?","คำนวณภาษี|จัดรูปแบบความสวยงาม|เก็บข้อมูล|ส่งอีเมล","จัดรูปแบบความสวยงาม","Cascading Style Sheets","เทคโนโลยี","level-2|dev",2,5,5,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"ดาวเคราะห์ดวงใดได้ชื่อว่าเป็น 'ดาวแห่งความรัก' ตามชื่อเทพเจ้าโรมัน?","ดาวอังคาร|ดาวพุธ|ดาวศุกร์|ดาวเสาร์","ดาวศุกร์","Venus","วิทยาศาสตร์","level-2|astronomy",2,5,5,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"ใครคือผู้ที่เหยียบดวงจันทร์เป็นคนแรกของโลก?","ยูริ กาการิน|นีล อาร์มสตรอง|บัซ อัลดริน|อีลอน มัสก์","นีล อาร์มสตรอง","หนึ่งก้าวเล็กๆ ของมนุษย์...","ประวัติศาสตร์","level-2|world",2,5,5,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"จังหวัดใดมีพระปฐมเจดีย์ที่ใหญ่ที่สุดในประเทศไทย?","สุพรรณบุรี|นครปฐม|ราชบุรี|กาญจนบุรี","นครปฐม","เจดีย์รูประฆังคว่ำสีเหลืองทอง","ภูมิศาสตร์","level-2|thai",2,5,5,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"ไฟล์นามสกุล .pdf ย่อมาจากคำว่าอะไร?","Personal Data File|Portable Document Format|Printable Desktop File|Page Digital Format","Portable Document Format","ไฟล์เอกสารที่จัดรูปแบบได้คงที่","เทคโนโลยี","level-2|tech",2,5,5,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"สัตว์ชนิดใดเลี้ยงลูกด้วยนมแต่ออกลูกเป็นไข่?","วาฬ|ตุ่นปากเป็ด|จระเข้|โลมา","ตุ่นปากเป็ด","พบได้ในประเทศออสเตรเลีย","วิทยาศาสตร์","level-2|animal",2,5,5,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"สีใดที่เป็นสีพื้นฐานของหน้าจอคอมพิวเตอร์ (RGB)?","แดง-เหลือง-น้ำเงิน|แดง-เขียว-น้ำเงิน|ขาว-ดำ-เทา|เหลือง-ชมพู-เขียว","แดง-เขียว-น้ำเงิน","Red, Green, Blue","เทคโนโลยี","level-2|tech",2,5,5,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"ใครคือผู้ก่อตั้งบริษัท Amazon?","เจฟฟ์ เบโซส|บิล เกตส์|แจ็ค หม่า|มาร์ก ซักเคอร์เบิร์ก","เจฟฟ์ เบโซส","เริ่มต้นจากการขายหนังสือออนไลน์","ความรู้ทั่วไป","level-2|world",2,5,5,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"7 x 8 = ?","54|56|58|60","56","เจ็ดแปดห้าสิบ...","คณิตคิดไว","level-2|math",2,5,5,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"ใน JavaScript ค่า 'null' และ 'undefined' ต่างกันอย่างไรในเชิงเทคนิค?","เหมือนกันทุกประการ|null คือจงใจให้ว่าง undefined คือยังไม่ได้กำหนด|null คือศูนย์ undefined คือช่องว่าง|ไม่มีข้อใดถูก","null คือจงใจให้ว่าง undefined คือยังไม่ได้กำหนด","Primitive types ที่ใช้จัดการค่าว่าง","เทคโนโลยี","level-3|dev",3,10,10,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"Protocol ใดที่ใช้ในการส่งข้อมูลเว็บไซต์แบบเข้ารหัสปลอดภัย?","HTTP|FTP|HTTPS|SMTP","HTTPS","Hypertext Transfer Protocol Secure","เทคโนโลยี","level-3|tech",3,10,10,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"ใครคือพระบิดาแห่งฝนหลวง?","รัชกาลที่ 4|รัชกาลที่ 5|รัชกาลที่ 9|รัชกาลที่ 10","รัชกาลที่ 9","ทรงคิดค้นการทำฝนเทียมเพื่อแก้ปัญหาภัยแล้ง","ประวัติศาสตร์","level-3|thai",3,10,10,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"ธาตุชนิดใดมีสัญลักษณ์ในตารางธาตุว่า 'He'?","ไฮโดรเจน|ฮีเลียม|ฮาฟเนียม|โฮลเมียม","ฮีเลียม","เป็นก๊าซที่ใช้บรรจุในลูกโป่งให้ลอยได้","วิทยาศาสตร์","level-3|chemistry",3,10,10,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"แม่น้ำที่ยาวที่สุดในเอเชียตะวันออกเฉียงใต้คือแม่น้ำสายใด?","แม่น้ำเจ้าพระยา|แม่น้ำโขง|แม่น้ำสาละวิน|แม่น้ำแดง","แม่น้ำโขง","ไหลผ่านหลายประเทศในภูมิภาคนี้","ภูมิศาสตร์","level-3|world",3,10,10,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"อวัยวะใดทำหน้าที่ควบคุมสมดุลของน้ำและกำจัดของเสียเป็นปัสสาวะ?","ตับ|ปอด|ไต|กระเพาะอาหาร","ไต","Kidney","วิทยาศาสตร์","level-3|health",3,10,10,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"ใครคือผู้ออกแบบและสร้างเครื่องบินลำแรกของโลก?","พี่น้องไรต์|โทมัส เอดิสัน|นิโคลา เทสลา|เจมส์ วัตต์","พี่น้องไรต์","ออร์วิลล์ และ วิลเบอร์ ไรต์","ประวัติศาสตร์","level-3|world",3,10,10,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"ประเทศใดที่มีพื้นที่ชายฝั่งติดกับมหาสมุทรทั้ง 3 ด้าน (แปซิฟิก, แอตแลนติก, อาร์กติก)?","สหรัฐอเมริกา|แคนาดา|รัสเซีย|ออสเตรเลีย","แคนาดา","มีพื้นที่กว้างขวางครอบคลุมตอนเหนือของทวีป","ภูมิศาสตร์","level-3|world",3,10,10,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"วิตามินชนิดใดมีส่วนสำคัญในการช่วยให้เลือดแข็งตัวเมื่อมีบาดแผล?","วิตามินเอ|วิตามินซี|วิตามินดี|วิตามินเค","วิตามินเค","พบมากในผักใบเขียว","วิทยาศาสตร์","level-3|health",3,10,10,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"รูปสี่เหลี่ยมที่มีด้านขนานกันเพียงคู่เดียวเรียกว่ารูปอะไร?","สี่เหลี่ยมผืนผ้า|สี่เหลี่ยมจัตุรัส|สี่เหลี่ยมคางหมู|สี่เหลี่ยมขนมเปียกปูน","สี่เหลี่ยมคางหมู","Trapezoid","คณิตศาสตร์","level-3|math",3,10,10,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"ใน Node.js คำสั่ง 'npm install' ทำหน้าที่อะไร?","รันโค้ด|ลบไฟล์|ติดตั้ง Library/Package|สร้างโฟลเดอร์ใหม่","ติดตั้ง Library/Package","Node Package Manager","เทคโนโลยี","level-4|dev",4,15,15,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"การโจมตีแบบ SQL Injection มีเป้าหมายเพื่ออะไร?","ทำลายฮาร์ดแวร์|ขโมยหรือแก้ไขข้อมูลใน Database|ทำให้อินเทอร์เน็ตช้าลง|แอบฟังเสียงผ่านไมโครโฟน","ขโมยหรือแก้ไขข้อมูลใน Database","การแทรกคำสั่ง SQL ผ่านช่องรับข้อมูล","เทคโนโลยี","level-4|security",4,15,15,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"ใครคือประธานาธิบดีสหรัฐฯ คนแรก?","อับราฮัม ลินคอล์น|จอร์จ วอชิงตัน|โทมัส เจฟเฟอร์สัน|จอห์น เอฟ เคนเนดี","จอร์จ วอชิงตัน","ผู้นำในสงครามประกาศอิสรภาพ","ประวัติศาสตร์","level-4|world",4,15,15,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"ก๊าซชนิดใดที่มีปริมาณมากที่สุดในชั้นบรรยากาศของดาวอังคาร?","ออกซิเจน|คาร์บอนไดออกไซด์|ไนโตรเจน|ไฮโดรเจน","คาร์บอนไดออกไซด์","มีมากกว่า 95% ทำให้เกิดปรากฏการณ์เรือนกระจกอ่อนๆ","วิทยาศาสตร์","level-4|astronomy",4,15,15,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"จังหวัดใดเป็นจังหวัดที่ 77 ของประเทศไทย?","บึงกาฬ|อำนาจเจริญ|หนองบัวลำภู|สระแก้ว","บึงกาฬ","แยกออกมาจากจังหวัดหนองคายในปี 2554","ภูมิศาสตร์","level-4|thai",4,15,15,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"ในระบบ Computer Networking 'Subnet Mask' ใช้เพื่ออะไร?","ซ่อน IP Address|ระบุขอบเขตของ Network|เพิ่มความเร็วเน็ต|บล็อกเว็บไซต์","ระบุขอบเขตของ Network","ช่วยให้เครื่องรู้ว่าเครื่องอื่นอยู่ในวงเดียวกันหรือไม่","เทคโนโลยี","level-4|tech",4,15,15,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"ใครคือผู้คิดค้นตารางธาตุ (Periodic Table) คนแรก?","ดมิทรี เมนเดเลอีฟ|มารี คูรี|แอนตวน ลาวัวซีเย|ไอน์สไตน์","ดมิทรี เมนเดเลอีฟ","นักเคมีชาวรัสเซีย","วิทยาศาสตร์","level-4|chemistry",4,15,15,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"ทวีปใดที่มีจำนวนประเทศมากที่สุดในโลก?","เอเชีย|ยุโรป|แอฟริกา|อเมริกาใต้","แอฟริกา","มีทั้งหมด 54 ประเทศที่ได้รับการยอมรับ","ภูมิศาสตร์","level-4|world",4,15,15,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"ตัวเลือกใดไม่ใช่หลักการของ Object-Oriented Programming (OOP)?","Encapsulation|Inheritance|Polymorphism|Recursion","Recursion","การเรียกตัวเองซ้ำเป็นรูปแบบการเขียนโปรแกรม ไม่ใช่หลักการ OOP","เทคโนโลยี","level-4|dev",4,15,15,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"สนธิสัญญาใดที่เป็นจุดเริ่มต้นของการค้าเสรีระหว่างสยามกับตะวันตกในสมัยรัชกาลที่ 4?","สนธิสัญญาเบอร์นี|สนธิสัญญาเบาว์ริง|สนธิสัญญาปารีส|สนธิสัญญาโตเกียว","สนธิสัญญาเบาว์ริง","จัดทำขึ้นในปี พ.ศ. 2398","ประวัติศาสตร์","level-4|thai",4,15,15,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"ใน MongoDB การใช้ 'Aggregate' มีวัตถุประสงค์เพื่ออะไร?","ลบข้อมูล|ดึงข้อมูลแบบมีการประมวลผลซับซ้อน|สร้าง Database ใหม่|เปลี่ยนชื่อคอลัมน์","ดึงข้อมูลแบบมีการประมวลผลซับซ้อน","คล้ายกับ Group By หรือการประมวลผลข้อมูลเป็น Pipeline","เทคโนโลยี","level-5|dev",5,20,20,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"ใครคือผู้นำพรรคนาซีเยอรมันที่พ่ายแพ้ในสงครามโลกครั้งที่ 2?","เบนิโต มุสโสลินี|อดอล์ฟ ฮิตเลอร์|จักรพรรดิฮิโรฮิโตะ|วินสตัน เชอร์ชิลล์","อดอล์ฟ ฮิตเลอร์","ผู้นำเผด็จการผู้ก่อสงครามในยุโรป","ประวัติศาสตร์","level-5|world",5,20,20,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"ปรากฏการณ์ 'Quantum Entanglement' หมายถึงอะไร?","อนุภาคที่อยู่ห่างกันแต่มีสถานะสัมพันธ์กัน|การระเบิดของดาว|การสะท้อนของแสง|ความร้อนจากดวงอาทิตย์","อนุภาคที่อยู่ห่างกันแต่มีสถานะสัมพันธ์กัน","ไอน์สไตน์เคยเรียกว่า Spooky action at a distance","วิทยาศาสตร์","level-5|physics",5,20,20,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"ประเทศใดที่มีขนาดเล็กที่สุดในโลกทั้งในแง่พื้นที่และประชากร?","โมนาโก|นครรัฐวาติกัน|ซานมารีโน|นาอูรู","นครรัฐวาติกัน","ตั้งอยู่ใจกลางเมืองโรม ประเทศอิตาลี","ภูมิศาสตร์","level-5|world",5,20,20,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"ใครคือผู้เขียนบทความ 'Bitcoin: A Peer-to-Peer Electronic Cash System'?","ซาโตชิ นากาโมโตะ|วิตาลิก บูเตอริน|อีลอน มัสก์|ชาร์ลส์ ฮอสกินสัน","ซาโตชิ นากาโมโตะ","Whitepaper ของ Bitcoin ในปี 2008","เทคโนโลยี","level-5|tech",5,20,20,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"หลักการ 'Solid' ในการออกแบบโปรแกรม ตัวอักษร 'S' ย่อมาจากอะไร?","System|Security|Single Responsibility|Service","Single Responsibility","หนึ่ง Class หรือ Module ควรมีหน้าที่เพียงอย่างเดียว","เทคโนโลยี","level-5|dev",5,20,20,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"ใครคือผู้ได้รับรางวัลโนเบลสาขาฟิสิกส์จากการค้นพบรังสีเอกซ์ (X-rays)?","มารี คูรี|วิลเฮล์ม เรินต์เกน|นิโคลา เทสลา|เอนรีโก แฟร์มี","วิลเฮล์ม เรินต์เกน","นักฟิสิกส์ชาวเยอรมัน ได้รับรางวัลในปี 1901","วิทยาศาสตร์","level-5|physics",5,20,20,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"เหตุการณ์ 'วิกฤตการณ์ขีปนาวุธคิวบา' (Cuban Missile Crisis) เกิดขึ้นในสมัยประธานาธิบดีคนใด?","จอห์น เอฟ เคนเนดี|ริชาร์ด นิกสัน|บารัก โอบามา|โรนัลด์ เรแกน","จอห์น เอฟ เคนเนดี","ความขัดแย้งในช่วงสงครามเย็นระหว่างสหรัฐฯ และโซเวียต","ประวัติศาสตร์","level-5|world",5,20,20,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"ในวิชาเศรษฐศาสตร์ 'Invisible Hand' (มือที่มองไม่เห็น) เป็นแนวคิดของใคร?","อดัม สมิธ|จอห์น เมย์นาร์ด เคนส์|มาร์ก ทเวน|คาร์ล มาร์กซ์","อดัม สมิธ","กลไกตลาดที่ขับเคลื่อนโดยเสรีภาพส่วนบุคคล","ความรู้ทั่วไป","level-5|economics",5,20,20,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"โปรโตคอลใดที่ใช้ในการรับ-ส่งไฟล์ภายในเครือข่ายระดับสถาปัตยกรรม Client-Server?","HTTP|FTP|UDP|ICMP","FTP","File Transfer Protocol","เทคโนโลยี","level-5|tech",5,20,20,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
